,,bhopal ,stats,,,,,,,,,,
SNO,District Name,   ST,,  SC,,OBC,,GENERAL ,,  TOTAL,,BPL Category,
,,Boys,Girls,Boys,Girls,Boys,Girls,Boys,Girls,Boys,Girls,OBC Boys,Gen. Boys
1,Bhopal,1082,1172,3624,3633,5820,6325,1500,1487,12026,12617,0,0
2,Bhopal,778,879,3190,3382,5253,5847,1131,1229,10352,11337,0,0
3,Bhopal,615,728,2815,3157,4736,5294,925,1065,9091,10244,1103,278
4,Bhopal,577,689,2802,3085,4652,5167,908,1053,8939,9994,1438,311
5,Bhopal,572,580,2676,2957,4341,4861,833,984,8422,9382,1575,354
6,Bhopal,521,493,2381,2685,3549,4276,681,944,7132,8398,1424,287
7,Bhopal,468,458,2293,2671,3536,4370,648,956,6945,8455,1085,182
8,Bhopal,381,421,1638,1774,2595,3109,1412,2222,6026,7526,161,50
